Date,Sit_Start,Sit_End,Duration_sec
2025-12-11,2025-12-11 23:21:35,2025-12-11 23:21:46,11.1
2025-12-12,2025-12-12 00:16:40,2025-12-12 00:16:44,3.7
2025-12-12,2025-12-12 00:17:28,2025-12-12 00:17:41,13.0
2025-12-12,2025-12-12 00:26:17,2025-12-12 00:26:52,34.8
2025-12-12,2025-12-12 00:26:57,2025-12-12 00:27:01,3.7
2025-12-12,2025-12-12 00:27:02,2025-12-12 00:27:05,2.8
2025-12-12,2025-12-12 00:27:07,2025-12-12 00:27:09,2.6
2025-12-12,2025-12-12 00:29:51,2025-12-12 00:30:24,33.5
2025-12-12,2025-12-12 00:34:21,2025-12-12 00:34:26,5.5
2025-12-12,2025-12-12 00:34:29,2025-12-12 00:34:51,22.0
2025-12-12,2025-12-12 00:35:22,2025-12-12 00:35:23,1.1
2025-12-12,2025-12-12 00:36:20,2025-12-12 00:36:22,2.6
2025-12-12,2025-12-12 22:55:04,2025-12-12 22:56:13,68.5
2025-12-12,2025-12-12 22:57:03,2025-12-12 22:57:04,1.3
2025-12-12,2025-12-12 22:57:05,2025-12-12 22:57:08,2.8
2025-12-12,2025-12-12 22:57:15,2025-12-12 22:57:17,2.4
2025-12-12,2025-12-12 23:01:05,2025-12-12 23:01:18,12.9
2025-12-12,2025-12-12 23:01:20,2025-12-12 23:01:22,2.3
2025-12-12,2025-12-12 23:01:24,2025-12-12 23:01:46,22.4
2025-12-12,2025-12-12 23:07:22,2025-12-12 23:07:26,4.3
2025-12-12,2025-12-12 23:07:27,2025-12-12 23:07:31,3.8
2025-12-12,2025-12-12 23:07:48,2025-12-12 23:07:49,1.0
2025-12-12,2025-12-12 23:08:44,2025-12-12 23:08:47,3.0
2025-12-12,2025-12-12 23:09:23,2025-12-12 23:09:27,3.8
2025-12-12,2025-12-12 23:09:38,2025-12-12 23:09:40,2.6
2025-12-12,2025-12-12 23:09:48,2025-12-12 23:09:53,5.0
2025-12-12,2025-12-12 23:10:54,2025-12-12 23:11:06,11.9
2025-12-12,2025-12-12 23:14:46,2025-12-12 23:14:48,2.7
2025-12-12,2025-12-12 23:15:17,2025-12-12 23:15:21,3.3
